Fiscal Year,State Name,County,Congressional District,Program Area,Program,Zip Code,Persistent Poverty Community Status,Borrower Name,Project Name,Investment Type,City,Lender Name,Funding Code,NAICS Industry Sector,County FIPS,NAICS National Industry Code,NAICS National Industry,Portfolio Type,Project Announced Description,Investment Dollars,Number of Investments,State Abbr,Award Type,Has Description
2018,Mississippi,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Persistent Poverty Community,Holmes County Consolidate Sch Dst,MS0741-A,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,Detailed Project Description Not Available,487001,1,MS,DL + TM,No
2018,Mississippi,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Persistent Poverty Community,Lauderdale County School District,MS0742-A,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to help the Lauderdale County School District purchase mobile videoconferencing carts for 16 sites in five rural Mississippi school districts. The project will enable each school to connect to share teachers, combine resources, and bring new educational services and opportunities to 8,447 students and faculty. The program will also offer rural residents in the communities of Collinsville, Meridian, Liberty, Heidelberg, Tylertown and Columbia Mississippi greater access to job placement services, GED programs, skills training programs, and higher education.",442012,1,MS,DL + TM,Yes
2018,Mississippi,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Persistent Poverty Community,North Pike School District,MS0708-A,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to help the North Pike School District install distance learning carts in partnership with four regional K-12 school districts: South Pike, Simpson County, Yazoo County, and Natchez-Adams. This program will bring about new opportunities for students in 16 schools to increase their proficiency in Science, Technology, Engineering, and Mathematics subject areas, providing access to additional courses in math, science, and coding. It will also open up career-focused programming such as computer science, health science, and agriculture science. The project will provide services to 7,688 students and teachers.",498627,1,MS,DL + TM,Yes
2018,Missouri,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,CoxHealth,MO0747-C,Grant Funds,,Not Applicable,DLT OPIOID GRANTS,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to help CoxHealth connect children in schools with a telemedicine network to deliver direct-to-patient care for rural communities in Southern Missouri. The project will equip 17 rural schools and eight rural clinics with telemedicine capabilities, increasing access to quality healthcare for 30,000 rural residents. The project will include telehealth carts and audio and visual conferencing equipment to affect illness events for children and increase access to opioid treatment in rural clinics. CoxHealth is a healthcare organization that serves 24 mainly rural counties in southwest Missouri.",224947,1,MO,DL + TM,Yes
2018,Missouri,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Great Circle,MO0751-A,Grant Funds,,Not Applicable,TELEMEDICINE- GRANT,Utilities,Not Available,,Not Available,Commercial,"The Rural Development investment will assist Great Circle in addressing limited specialty healthcare services through the purchase and installation of interactive telemedicine equipment. This project implements mobile telehealth equipment delivering specialty telehealth services from St. Louis County to the counties of Adair, Butler, Crawford, Jefferson, Phelps, Pulaski and Ripley in the State of Missouri. Specialty care will include psychological services and Applied Behavioral Analysis therapy at seven (7) healthcare facilities benefiting over 2,600 patients. Great Circle will increase the number of youth and families receiving therapy by 41% and increase the number of youth served by 56% over two years.",385777,1,MO,DL + TM,Yes
2018,Missouri,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Lake Regional Health System,MO0750-A,Grant Funds,,Not Applicable,TELEMEDICINE- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to establish the Lake Regional Mid-Missouri Telemedicine Program providing specialty physician telemedicine care. This project will establish synchronous, tele-conferencing equipment with interactive medical devices within 13 facilities in five rural mid-Missouri counties serving over 35,000 rural residents. The network will also be used to keep healthcare providers aware of the latest innovations in healthcare and allow easier access to continuing education and other required training. A new and much needed facet of the tele-health resources will be enabling the use of behavioral and other counseling services including opioid misuse treatment.",433961,1,MO,DL + TM,Yes
2018,Missouri,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Persistent Poverty Community,"Family Counseling Center, Inc.",MO0748-A,Grant Funds,,Not Applicable,DLT OPIOID GRANTS,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will help the Family Counseling Center Inc. address mental health and substance misuse. Interactive telemedicine equipment will be installed at 17 health care clinics and seven courthouses in 14 counties in Southern and Southeastern Missouri. The project will provide upgraded servers, telehealth stations and mobile laptops, enabling clients to meet with providers at clinics and within their homes. This project also will connect rural residents suffering from opioid misuse to Medication Assistance Treatment, nursing services, psychiatric therapy, and substance use disorder counseling. The investment will increase telemedicine access to over 12,375 rural residents.",189102,1,MO,DL + TM,Yes
2018,Montana,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,"Kalispell Regional Medical Center , Inc.",MT0736-C,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,Detailed Project Description Not Available,206745,1,MT,DL + TM,No
2018,Nebraska,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Educational Service Unit 16 (ESU #16),NE0718-E,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will assist Educational Services Unit 16 Nebraska with implementing its Health Initiative for Living and Learning STEM (HILLS) program through the purchase and installation of video-conferencing equipment. This project implements mobile distance learning carts at thirty (30) public schools providing access to Science, Technology, Engineering, and Mathematics (STEM) education for students in eighteen (18) counties within South-Central Nebraska. The project connects students to colleges and educational centers providing courses in agriculture, education, information technology, business, health science, and STEM education. The project will increase the number of graduating career and college ready students from among the 93,000 residents served.",500000,1,NE,DL + TM,Yes
2018,Nebraska,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Mid-Plains Community College,NE0731-D,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,Detailed Project Description Not Available,99949,1,NE,DL + TM,No
